year,birth_total,birth_male,birth_female,birth_rate,birth_gender_ratio,total_fertility_rate,population_male,population_female,population_total,total_death,death_rate(CDR),Life_expectancy_at_birth,infant_death_total,infant_death_male,infant_death_female,infant_death_unknown_gender,infant_death_rate,infant_death_gender_ratio,infant_deaths_in_total_deaths,stillbirth_total,stillbirth_male,stillbirth_female,stillbirth_unknown_gender,stillbirth_rate,stillbirth_gender_ratio,firstborn,secondborn,thirdborn,forthborn,fifthborn_and_above,weeks_under_28,weeks_28-31,weeks_32-36,weeks_37-41,weeks_over_42,mother_age_avg,mother_age_firstborn,mother_age_secondborn,mother_age_thirdborn,mother_age_under_19,mother_age_20-24,mother_age_25-29,mother_age_30-34,mother_age_35-39,mother_age_40-44,mother_age_over_45,father_age_avg,father_age_firstborn,father_age_secondborn,father_age_thirdborn,legitimate_child,illegitimate_child
1966,1360974,705463,655511,13.7,107.6,1.6,48628000,50429000,99056000,670341.92,6.77,71.02,26217,15024,11193,0,19.3,134.2,3.9,148248,72739,56602,18907,98.2,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,1935647,992778,942869,19.4,105.3,2.2,48899000,50738000,99637000,675006.00,6.77,71.37,28928,16628,12300,0,14.9,135.2,4.3,149389,73485,56848,19056,71.6,129.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,1871839,967996,903843,18.6,107.1,2.1,49480000,51315000,100794000,686555.05,6.81,71.65,28600,16676,11924,0,15.3,139.9,4.2,143259,69743,53349,20167,71.1,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1889815,977687,912128,18.5,107.2,2.1,50103000,51919000,102022000,693787.00,6.80,71.90,26874,15544,11330,0,14.2,137.2,3.9,139211,66770,50202,22239,68.6,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1934239,1000403,933836,18.8,107.1,2.1,50600539,52518908,103119447,712962.02,6.91,71.98,25412,14747,10665,0,13.1,138.3,3.6,135095,63684,48166,23245,65.3,132.2,878979,753834,245824,40207,15395,,,,,,27.5,25.6,28.3,30.6,20177,513172,951246,358375,80581,9860,548,,,,,1916257,17982
1971,2000973,1032937,968036,19.2,106.7,2.2,51225000,53120000,104345000,684521.01,6.56,72.81,24805,14292,10513,0,12.4,135.9,3.6,130920,60144,45413,25363,61.4,132.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,2038682,1051389,987293,19.3,106.5,2.1,51848000,53894000,105742000,683751.04,6.47,73.24,23773,13840,9933,0,11.7,139.3,3.5,125154,56714,41707,26733,57.8,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,2091983,1077517,1014466,19.4,106.2,2.1,53001000,55078000,108079000,709415.95,6.56,73.41,23683,13698,9985,0,11.3,137.2,3.3,116171,51653,37470,27048,52.6,137.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,2029989,1046538,983451,18.6,106.4,2.1,53678000,55732000,109410000,710510.03,6.49,73.84,21888,12654,9234,0,10.8,137.0,3.1,109738,47526,34680,27532,51.3,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1901440,979091,922349,17.1,106.2,1.9,54724867,56526640,111251507,702275.00,6.31,74.35,19103,10975,8128,0,10.0,135.0,2.7,101862,44026,32010,25826,50.8,137.5,862356,767669,224576,33994,12845,,,,,,27.4,25.7,28.0,30.3,15999,479041,1014624,320060,62663,8727,319,30.1,28.3,30.8,33.4,1886174,15266
1976,1832617,943829,888788,16.3,106.2,1.9,55334000,57086000,112420000,703269.98,6.26,74.75,17105,9843,7262,0,9.3,135.5,2.4,101930,43015,30559,28356,52.7,140.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1755100,903380,851720,15.5,106.1,1.8,55860000,57639000,113499000,690073.97,6.08,75.32,15666,8988,6678,0,8.9,134.6,2.3,95247,39590,28077,27580,51.5,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,1708643,879149,829494,14.9,106.0,1.8,56362000,58149000,114511000,695820.97,6.08,75.65,14327,8216,6111,0,8.4,134.4,2.1,87463,36358,25530,25575,48.7,142.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1642580,845884,796696,14.2,106.2,1.8,56837000,58628000,115465000,689664.00,5.97,76.16,12923,7387,5536,0,7.9,133.4,1.9,82311,35133,24054,23124,47.7,146.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1576889,811418,765471,13.6,106.0,1.8,57201287,59119071,116320358,722801.00,6.21,76.13,11841,6754,5087,0,7.5,132.8,1.6,77446,33450,22098,21898,46.8,151.4,667683,642573,227604,29901,9128,1957,5980,56952,1441700,69873,28.1,26.4,28.7,30.6,14590,296854,810204,388935,59127,6911,258,30.8,29.2,31.4,33.3,1564341,12548
1981,1529455,786596,742859,13.0,105.9,1.7,57654000,59551000,117204000,720261.99,6.15,76.55,10891,6148,4743,0,7.1,129.6,1.5,79222,33761,21829,23632,49.2,154.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1515392,777855,737537,12.8,105.5,1.8,58053000,59955000,118008000,711882.98,6.03,77.06,9969,5685,4284,0,6.6,132.7,1.4,78107,33394,21018,23695,49.0,158.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1508687,775206,733481,12.7,105.7,1.8,58435000,60352000,118786000,740038.01,6.23,77.10,9406,5267,4139,0,6.2,127.3,1.3,71941,30352,19589,22000,45.5,154.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,1489780,764597,725183,12.5,105.4,1.8,58793000,60730000,119523000,740247.00,6.19,77.50,8920,5075,3845,0,6.0,132.0,1.2,72361,31661,19626,21074,46.3,161.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1431577,735284,696293,11.9,105.6,1.8,59044000,61221700,120265700,752282.96,6.26,77.79,7899,4332,3567,0,5.5,121.4,1.1,69009,30701,18376,19932,46.0,167.1,602005,562920,225304,32597,8751,2292,5520,51983,1326256,45108,28.6,26.7,29.1,31.4,17877,247341,682885,381466,93501,8224,245,31.4,29.6,32.0,34.2,1417409,14168
1986,1382946,711301,671645,11.4,105.9,1.7,59438000,61508000,120946000,750620.01,6.21,78.20,7251,4008,3243,0,5.2,123.6,1.0,65678,29107,17156,19415,45.3,169.7,585538,539102,217742,32186,8378,,,,,,,,,,,,,,,,,,,,,,
1987,1346658,692304,654354,11.1,105.8,1.7,59723000,61811000,121535000,751172.00,6.18,78.63,6711,3734,2977,0,5.0,125.4,0.9,63834,28480,15959,19395,45.3,178.5,569887,523799,214026,30961,7985,2234,4890,49864,1256854,32418,,,,,,,,,,,,,,,,,
1988,1314006,674883,639123,10.8,105.6,1.7,59964000,62062000,122026000,793013.98,6.50,78.54,6265,3434,2831,0,4.8,121.3,0.8,59636,26553,14947,18136,43.4,177.6,554400,509040,211317,31336,7913,2193,5071,51419,1229299,25595,,,,,,,,,,,,,,,,,
1989,1246802,640506,606296,10.2,105.6,1.6,60171000,62289000,122460000,788594.00,6.44,78.98,5724,3118,2606,0,4.6,119.6,0.7,55204,24406,13375,17423,42.4,182.5,535128,475022,199027,30204,7421,2134,4715,47725,1168484,23396,,,,,,,,,,,,,,,,,
1990,1221585,626971,594614,10.0,105.4,1.5,60248969,62472428,122721397,820305.00,6.68,78.99,5616,3123,2493,0,4.6,125.3,0.7,53892,23901,12564,17427,42.3,190.2,531648,459569,192788,30453,7127,2312,4710,48209,1145520,20475,28.9,27.0,29.5,31.8,17496,191859,550994,356026,92377,12587,224,31.8,29.9,32.4,34.7,1208546,13039
1991,1223245,628615,594630,9.9,105.7,1.5,60425000,62677000,123102000,829796.98,6.74,79.25,5418,2915,2503,0,4.4,116.5,0.7,50510,22062,11603,16845,39.7,190.1,551924,450107,184893,29203,7118,2275,4735,48395,1148824,18665,,,,,,,,,,,,,,,,,
1992,1208989,622136,586853,9.8,106.0,1.5,60597000,62879000,123476000,856643.01,6.94,79.29,5477,3103,2374,0,4.5,130.7,0.6,48896,21148,10845,16903,38.9,195.0,556418,441635,175311,28715,6910,2390,5093,49047,1135705,16305,,,,,,,,,,,,,,,,,
1993,1188282,610244,578038,9.6,105.6,1.5,60730000,63057000,123788000,878531.94,7.10,79.44,5169,2847,2322,0,4.3,122.6,0.6,45090,19808,9987,15295,36.6,198.3,557995,431228,165279,27082,6698,2316,5012,47478,1115712,17311,,,,,,,,,,,,,,,,,
1994,1238328,635915,602413,10.0,105.6,1.5,60839000,63230000,124069000,875932.95,7.06,79.83,5261,2994,2267,0,4.2,132.1,0.6,42962,18818,9510,14634,33.5,197.9,589346,446864,166554,28314,7250,2617,5302,51096,1162326,16530,,,,,,,,,,,,,,,,,
1995,1187064,608547,578517,9.6,105.2,1.4,60919153,63379794,124298947,922138.98,7.42,79.67,5054,2808,2246,0,4.3,125.0,0.5,39403,17891,8704,12808,32.1,205.5,567530,428394,156586,27556,6998,2384,5067,50842,1114271,14045,29.1,27.5,29.8,32.0,16112,193514,492714,371773,100053,12472,414,31.7,30.0,32.4,34.8,1172346,14718
